Number,Type,Release date/date of original information retrieval,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J,Efficiency in J/MH
1,GPU,3/19/2012,https://www.cryptocompare.com/mining/amd/radeon-hd-7870-ethereum-mining/,5/7/2018,AMD,Radeon HD 7870,10,175,"0,06","17,15686275"
2,GPU,3/22/2012,https://en.wikipedia.org/wiki/GeForce_600_series,5/7/2018,NVIDIA,GeForce GTX 680,15,195,"0,08",13
3,GPU,8/16/2012,https://en.wikipedia.org/wiki/GeForce_600_series,5/7/2018,NVIDIA,GeForce GTX 660 Ti,12,150,"0,08","12,76595745"
4,GPU,10/9/2012,https://en.wikipedia.org/wiki/GeForce_600_series,5/7/2018,NVIDIA,GeForce GTX 650 Ti,10,110,"0,09","10,64859632"
5,GPU,4/1/2013,https://www.cryptocompare.com/mining/amd/radeon-r9-hd-7990-ethereum-mining/,5/7/2018,AMD,Radeon R9 HD 7990,36,375,"0,10","10,41666667"
6,GPU,5/23/2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA ,GeForce GTX 780,20,250,"0,08","12,5"
7,GPU,5/30/2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA,GeForce GTX 770,15,230,"0,07","15,33333333"
8,GPU,6/25/2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA,GeForce GTX 760,15,170,"0,09","11,33333333"
9,GPU,10/24/2013,http://www.sapphiretech.com/page.asp?IDno=5371&lang=eng,5/7/2018,AMD,Sapphire R9 290X,31,290,"0,11","9,508196721"
10,GPU,11/7/2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA,GeForce GTX 780 Ti,22,250,"0,09","11,36363636"
11,GPU,12/19/2013,https://www.cryptocompare.com/mining/amd/radeon-r9-290x-tri-x-ethereum-mining/,5/7/2018,AMD,Radeon R9 290x Tri-X,22,290,"0,08","13,18181818"
12,GPU,2/18/2014,https://www.cryptocompare.com/mining/nvidia/nvidia-geforce-gtx-750-ti-ethereum-mining/,5/7/2018,NVIDIA,GeForce GTX 750 Ti ,6,40,"0,15","6,666666667"
13,GPU,2/18/2014,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA,GeForce GTX Titan Black,21,250,"0,08","12,19512195"
14,GPU,4/8/2014,https://www.cryptocompare.com/mining/amd/radeon-r9-295x2-ethereum-mining/,5/7/2018,AMD,Radeon R9 295x2,46,500,"0,09","10,86956522"
15,GPU,9/18/2014,https://en.wikipedia.org/wiki/GeForce_900_series,5/7/2018,NVIDIA,GeForce GTX 980,20,165,"0,12","8,25"
16,GPU,9/18/2014,https://www.cryptocompare.com/mining/nvidia/nvidia-geforce-gtx-970-ethereum-mining/,5/7/2018,NVIDIA,GeForce GTX 970,16,145,"0,11","9,119496855"
17,GPU,1/22/2015,https://en.wikipedia.org/wiki/GeForce_900_series,5/7/2018,NVIDIA,GeForce GTX 960,11,120,"0,09","11,00917431"
18,GPU,3/17/2015,https://en.wikipedia.org/wiki/GeForce_900_series,5/7/2018,NVIDIA,GeForce GTX Titan X,40,250,"0,16","6,25"
19,GPU,6/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,5/7/2018,AMD,Radeon R9 390,32,275,"0,12","8,59375"
20,GPU,6/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,5/7/2018,AMD,Radeon R9 390X,34,275,"0,12","8,208955224"
21,GPU,6/1/2015,https://www.cryptocompare.com/mining/amd/strix-radeon-r7-370-ethereum-mining/,5/7/2018,AMD,Radeon Strix R7 370,12,110,"0,11","9,166666667"
22,GPU,6/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-380-ethereum-mining/,5/7/2018,AMD,Radeon R9 380,17,190,"0,09","11,17647059"
23,GPU,6/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-fury-x-ethereum-mining/,5/7/2018,AMD,Radeon R9 Fury X,24,275,"0,09","11,70212766"
24,GPU,6/2/2015,https://en.wikipedia.org/wiki/GeForce_900_series,5/7/2018,NVIDIA,GeForce GTX 980 Ti,24,250,"0,09","10,63829787"
25,GPU,8/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-nano-ethereum-mining/,5/7/2018,AMD,Radeon R9 Nano,23,175,"0,13","7,608695652"
26,GPU,11/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-380x-ethereum-mining/,5/7/2018,AMD,Radeon R9 380x,18,200,"0,09","11,11111111"
27,GPU,5/27/2016,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1080  ,27,180,"0,15","6,666666667"
28,GPU,6/1/2016,https://www.cryptocompare.com/mining/amd/radeon-rx-480-ethereum-mining/,5/7/2018,AMD,Radeon Rx 480,25,150,"0,17",6
29,GPU,6/10/2016,https://www.techradar.com/news/best-mining-gpu,5/7/2018,NVIDIA,GeForce GTX 1070,30,150,"0,20",5
30,GPU,8/1/2016,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX 460,13,75,"0,17","5,769230769"
31,GPU,8/1/2016,https://www.cryptocompare.com/mining/amd/radeon-rx-470-ethereum-mining/,5/7/2018,AMD,Radeon RX 470 ,24,150,"0,16","6,25"
32,GPU,8/18/2016,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1060,24,120,"0,20",5
33,GPU,10/25/2016,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,Radeon GTX 1050 Ti,15,75,"0,20",5
34,GPU,3/10/2017,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1080 Ti,37,250,"0,15","6,756756757"
35,GPU,4/6/2017,https://www.techspot.com/article/1438-ethereum-mining-gpu-benchmark/%20&%20,5/7/2018,NVIDIA,GeForce Titan Xp,31,250,"0,12","8,116883117"
36,GPU,4/18/2017,https://www.cryptocompare.com/mining/amd/asus-rog-strix-radeon-rx-570-o4g/,5/7/2018,AMD,Radeon RX 570,22,115,"0,19","5,227272727"
37,GPU,4/18/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX 580,30,185,"0,16","6,166666667"
38,GPU,4/20/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX 550,11,50,"0,22","4,545454545"
39,GPU,7/1/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega Frontier Edition,37,300,"0,12","8,108108108"
40,GPU,8/14/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega 64,40,295,"0,14","7,375"
41,GPU,8/14/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega 64 Liquid,44,345,"0,13","7,840909091"
42,GPU,8/28/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega 56,37,210,"0,18","5,675675676"
43,GPU,11/2/2017,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1070 Ti,32,150,"0,21","4,6875"
44,GPU,12/13/2017,https://www.techradar.com/news/nvidias-titan-v-is-a-massively-powerful-gpu-for-cryptocurrency-mining,5/7/2018,NVIDIA,GTX Titan V,77,237,"0,32","3,077922078"